Size,2.5m,3.0m,3.5m,4.0m,4.5m,5.0m,5.5m,6.0m
125x70x4,9.46,7.07,5.46,4.32,3.48,2.86,2.38,2.01
140x70x4,12.28,9.25,7.2,5.74,4.66,3.84,3.21,2.72
150x70x4,14.21,10.86,8.49,6.8,5.54,4.59,3.85,3.26
130x70x6,15.83,11.93,9.3,7.42,6.03,4.98,4.17,3.53
170x70x4,17.92,14.48,11.41,9.21,7.56,6.3,5.31,4.53
160x70x5,20.33,15.94,12.54,10.11,8.3,6.91,5.82,4.96
150x70x6,21.9,16.64,13.09,10.54,8.64,7.19,6.05,5.15
170x70x5,22.75,18.29,14.44,11.69,9.63,8.04,6.79,5.8
180x70x5,24.76,20.8,16.48,13.37,11.05,9.26,7.85,6.72
150x80x8,24.76,22.59,17.76,14.31,11.74,9.77,8.23,7.01
185x70x6,24.76,26.71,21.24,17.31,14.36,12.08,10.28,8.82
170x80x8,24.76,29.26,23.81,19.31,15.96,13.37,11.33,9.7
180x80x8,24.76,29.26,27.15,22.09,18.31,15.38,13.07,11.22
